Size,,Group,Population,Shape,Colour,Filling,Pattern,,
10,,EUROPEAN,EUR__UK_Orcadian,diamond_cross,#9894c5,#6a688a,,,
10,,EUROPEAN,EUR__UK_GBR_British,cross,#8e8ac0,#636187,,,
10,,EUROPEAN,EUR__USA_CEU_Eur-American,square_dot,#8481bc,#5c5a84,,,
10,,EUROPEAN,EUR__France_French,circle_y,#7b74b5,#56517f,,,
10,,EUROPEAN,EUR__France_Basque,cross,#7465ad,#514679,,,
10,,EUROPEAN,EUR__Italy_TSI_Toscani,star,#6d57a6,#4c3d74,,,
10,,EUROPEAN,EUR__Italy_Tuscan,circle_y,#65489f,#47326f,,,
10,,EUROPEAN,EUR__Italy_Italian,circle_cross,#5e3a98,#42286a,,,
10,,EUROPEAN,EUR__Sardinia_Sardinian,plus,#572c92,#3d1f66,,,
10,,EUROPEAN,EUR__Spain_IBS_Iberian,square,#4f1f8b,#381561,,,
10,,OCEANIAN,OCE__Melanesia_Melanesian,circle,#b5b5b5,#7f7f7f,,,
10,,OCEANIAN,OCE__PapuaNG_Papuan-Highlands,triangle,#6c6c6c,#4c4c4c,,,
10,,OCEANIAN,OCE__PapuaNG_Papuan-Sepik,x,#1d1d1d,#141414,,,
